sourceid,dstid,month,mean_travel_time,standard_deviation_travel_time,geometric_mean_travel_time,geometric_standard_deviation_travel_time
94,224,06,405.89,238.41,368.96,1.5
188,291,05,1861.29,755.15,1756.92,1.37
90,264,06,1064.53,699.17,944.47,1.59
191,176,06,481.46,610.19,310.13,2.62
192,166,06,1797.61,1144.9,1529.56,1.74
210,70,04,2227.74,1191.64,1939.02,1.72
329,291,05,2646.21,1833.79,2160.94,1.87
172,366,06,1865.2,841.32,1738.37,1.42
155,206,05,583.08,100.88,575.44,1.17
142,336,05,2583.65,927.58,2416.04,1.46
78,297,05,341.43,468.71,204.51,2.77
68,397,05,1549.82,914.18,1344.07,1.7
151,246,05,2323.76,1492.21,1920.99,1.86
229,368,05,2018.94,1390.47,1596.3,2.07
237,288,05,757.27,417.05,675.17,1.63
164,116,05,1065.41,716.57,913.99,1.68
248,178,05,1910.62,933.3,1761.57,1.46
354,51,04,3441.76,673.04,3375.21,1.22
172,36,05,2162.92,1151.43,1953.44,1.54
355,41,04,1306.64,436.87,1256.66,1.29
246,198,05,4017.27,2104.12,3398.58,1.84
20,62,06,724.0,492.22,611.53,1.73
280,333,04,2040.04,1114.31,1816.09,1.6
282,313,04,1053.42,292.7,978.55,1.7
21,52,06,787.41,190.8,769.08,1.23
23,32,06,626.17,518.22,564.39,1.43
90,161,05,1830.74,757.33,1705.35,1.44
82,241,05,2699.84,1207.59,2434.79,1.64
237,70,05,2301.5,1219.77,2057.33,1.59
194,330,05,1833.39,774.45,1703.95,1.45
91,151,05,1129.87,905.53,867.4,2.08
191,360,05,791.27,469.37,686.06,1.67
71,351,05,2336.06,780.66,2234.61,1.33
388,192,06,2551.7,1410.24,2214.12,1.71
368,392,06,217.66,301.47,136.95,2.44
378,292,06,1338.96,645.39,1218.31,1.54
379,282,06,1481.84,828.6,1269.73,1.77
312,59,06,896.24,744.32,693.25,2.02
312,266,05,2344.4,1298.21,2063.81,1.63
327,116,05,1024.86,558.87,932.0,1.49
282,107,05,2260.61,1227.33,1990.63,1.66
334,86,04,1414.27,1201.43,1142.68,1.8
202,57,05,1844.14,571.78,1768.8,1.32
87,225,05,1028.17,487.17,900.52,1.83
95,145,05,1184.15,688.21,1077.16,1.49
82,275,05,860.03,296.58,822.02,1.33
333,96,04,1882.58,1502.2,1457.47,2.07
249,152,06,319.01,151.29,299.45,1.39
79,305,05,1894.75,482.89,1835.96,1.29
225,392,06,550.98,482.69,416.38,2.06
246,340,04,2949.15,953.76,2812.08,1.36
237,272,06,2724.87,954.17,2559.15,1.45
69,194,06,3280.85,1353.72,3017.06,1.51
133,192,04,1095.95,941.54,832.2,2.15
138,142,04,2111.1,1033.06,1917.64,1.53
245,192,06,1374.05,1087.47,1013.39,2.34
252,280,04,398.88,410.67,264.52,2.54
228,362,06,1853.91,894.2,1665.87,1.58
