sourceid,dstid,month,mean_travel_time,standard_deviation_travel_time,geometric_mean_travel_time,geometric_standard_deviation_travel_time
164,116,05,981.36,575.12,824.49,1.93
142,336,05,2796.19,1290.63,2501.57,1.62
78,297,05,274.8,378.59,168.07,2.66
68,397,05,1057.29,669.45,950.13,1.55
155,206,05,590.2,103.94,582.11,1.18
237,288,05,772.45,403.09,686.8,1.65
248,178,05,2003.87,1075.58,1791.43,1.56
151,246,05,1394.35,794.05,1242.72,1.57
229,368,05,1702.38,1138.94,1462.73,1.66
172,36,05,1953.62,939.5,1783.25,1.5
20,62,06,622.09,391.93,541.14,1.63
21,52,06,798.14,229.25,773.24,1.27
282,313,04,991.32,486.23,923.89,1.39
280,333,04,1839.97,809.88,1678.91,1.53
23,32,06,642.83,322.36,595.1,1.42
90,161,05,1837.73,892.06,1667.38,1.52
91,151,05,935.25,833.38,734.59,1.93
191,360,05,893.8,688.08,659.33,2.4
194,330,05,1807.17,967.58,1644.57,1.49
237,70,05,1785.76,697.32,1671.33,1.45
82,241,05,2615.2,1331.28,2352.41,1.58
378,292,06,1119.12,516.02,1036.01,1.44
379,282,06,1293.16,1079.2,1002.21,2.02
388,192,06,2183.11,1217.0,1898.48,1.7
368,392,06,178.96,269.23,116.64,2.25
312,59,06,964.21,783.3,757.21,1.99
312,266,05,1889.87,710.63,1760.97,1.46
327,116,05,964.2,586.0,856.69,1.6
282,107,05,1419.0,862.43,1257.89,1.57
333,96,04,1303.67,833.42,1129.3,1.65
202,57,05,1762.0,542.37,1689.33,1.33
82,275,05,931.8,953.1,781.78,1.62
87,225,05,873.81,404.55,700.28,2.4
95,145,05,997.28,555.1,911.51,1.46
334,86,04,1068.31,559.68,961.73,1.55
225,392,06,477.15,496.95,340.86,2.46
228,362,06,1835.15,892.15,1672.5,1.51
249,152,06,301.19,174.35,282.42,1.34
79,305,05,1719.19,656.55,1617.96,1.4
245,192,06,806.07,709.26,595.89,2.14
69,194,06,2787.67,1147.94,2571.31,1.49
237,272,06,2502.0,726.9,2405.35,1.32
138,142,04,1802.96,1061.58,1554.03,1.75
133,192,04,669.24,633.92,480.5,2.29
246,340,04,3653.73,1140.39,3485.4,1.36
252,280,04,376.47,441.71,246.36,2.54
279,96,06,1977.83,988.42,1813.81,1.48
192,51,06,1314.09,538.63,1225.51,1.46
392,33,04,1361.48,920.3,1179.51,1.64
116,64,04,2193.42,1762.77,1818.18,1.72
400,88,05,2234.46,1234.26,2006.43,1.54
70,336,04,1652.71,693.17,1539.35,1.43
241,390,04,1784.03,1046.88,1559.83,1.67
172,204,06,832.48,440.23,753.75,1.55
291,13,06,777.79,134.71,767.05,1.18
207,354,06,743.28,435.66,647.29,1.67
181,114,06,428.24,182.21,398.02,1.44
290,23,06,1220.29,319.48,1188.39,1.24
362,294,06,1790.0,1510.76,1484.79,1.67
90,273,05,408.76,354.03,340.23,1.84
93,243,05,1190.04,660.54,1022.86,1.74
96,272,06,1543.62,758.14,1409.7,1.49
141,59,04,1803.93,1337.11,1561.7,1.61
95,282,06,1465.47,914.04,1243.95,1.74
86,372,06,1070.17,500.44,961.22,1.59
293,362,04,2400.2,934.1,2231.11,1.47
297,322,04,716.88,590.42,552.6,2.04
242,15,05,1161.33,359.13,1114.79,1.32
257,64,04,1029.27,573.31,909.6,1.62
77,90,05,1289.11,523.13,1202.26,1.45
70,252,04,2404.7,1195.29,2149.34,1.6
64,312,04,2811.7,1604.5,2434.55,1.7
71,242,04,1205.65,692.21,1104.01,1.44
24,191,06,787.29,839.94,604.84,1.87
16,271,06,1448.43,637.08,1340.98,1.46
65,26,06,383.38,419.74,185.89,4.0
64,36,06,2642.06,1811.13,2169.03,1.82
341,21,05,532.35,194.67,508.05,1.32
28,151,06,2067.85,374.88,2034.01,1.2
299,150,06,840.75,586.11,725.46,1.62
245,188,05,1555.26,732.27,1399.36,1.58
244,198,05,592.59,480.02,501.24,1.67
257,354,06,1504.24,1154.59,1207.52,1.85
266,264,06,1350.68,555.01,1260.05,1.43
234,298,05,424.67,179.95,394.41,1.45
341,114,05,767.77,124.91,758.17,1.17
276,164,06,1570.71,952.82,1355.3,1.7
333,65,04,1922.26,991.36,1688.18,1.66
273,194,06,1112.32,999.36,968.77,1.54
259,334,06,1021.4,885.52,809.52,1.84
281,77,06,306.53,318.72,234.39,1.94
15,159,04,746.17,133.84,735.21,1.18
128,82,04,304.07,399.58,188.75,2.64
334,107,05,1270.62,813.55,958.93,2.77
263,145,06,643.72,638.52,509.53,1.78
242,355,06,585.05,251.85,552.79,1.35
133,372,04,1512.78,755.41,1368.66,1.54
151,192,04,518.73,598.57,377.53,2.1
133,33,06,2036.7,973.2,1873.72,1.47
153,172,04,1423.82,491.22,1306.79,1.67
59,291,05,1518.06,588.45,1421.28,1.42
69,191,05,1273.83,596.59,1157.47,1.53
139,312,04,1398.64,975.14,1169.79,1.81
368,36,05,1692.6,1931.35,1238.89,1.95
362,96,05,107.47,144.5,80.16,1.9
142,282,04,1067.49,764.22,917.34,1.67
271,142,05,539.08,473.74,442.15,1.76
78,28,05,1683.26,856.96,1493.44,1.62
192,56,04,1408.45,753.47,1275.18,1.52
194,36,04,1371.01,536.09,1275.92,1.46
336,86,04,1339.37,775.35,1145.69,1.76
288,188,06,1827.75,773.8,1692.0,1.46
269,378,06,1528.09,768.08,1367.41,1.58
327,64,04,832.42,757.02,542.76,2.87
40,383,06,2463.15,896.56,2321.52,1.4
58,203,06,1006.93,351.75,955.58,1.37
65,133,06,1891.96,1105.4,1688.14,1.57
191,27,05,1390.94,475.92,1280.83,1.58
51,273,06,2171.57,817.96,2051.58,1.38
271,367,05,1383.91,954.43,1207.36,1.6
282,257,05,652.18,371.06,567.74,1.68
276,317,05,1462.7,730.86,1277.91,1.71
334,341,06,507.41,296.7,446.35,1.61
297,107,05,339.27,416.04,232.1,2.37
368,198,05,836.14,1056.93,612.16,2.01
